therapist_consistency_id,therapist_id,therapist_name,outlet_id,outlet_name,market_context,period_type,period_start,period_end,rolling_window_weeks,therapist_role,employment_type,active_flag,hours_available,hours_sold,utilization_percent,revenue_eur,yield_eur_per_sold_hour,revpath_proxy_eur_per_available_hour,avg_ticket_eur,rebooking_rate_percent,addon_attach_rate_percent,retail_attach_rate_percent,cancellation_impact_rate_percent,complaint_rate_percent,service_recovery_rate_percent,schedule_adherence_percent,attendance_reliability_percent,performance_level_score,utilization_stability_score,yield_stability_score,guest_quality_stability_score,commercial_consistency_score,attendance_consistency_score,variance_penalty_score,market_fairness_modifier_score,therapist_consistency_score_0_100,therapist_consistency_band,consistency_primary_gap,consistency_secondary_gap,consistency_variance_flag,coach_priority_flag,burnout_risk_flag,score_confidence_level,observed_weeks_count,observed_months_count,minimum_sample_rule_applied,data_coverage_flag,source_dependency_status,qa_status,audit_note,status
TCS_00001,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,12,therapist,full_time,yes,148.08,101.25,68.38,6077.03,60.02,41.04,63.02,39.95,23.24,8.96,3.49,3.97,31.57,86.78,91.12,54.418499999999995,89.46000000000001,99.5,92.06,31.595,88.95,5.209999999999997,0,72.06,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00012,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-12-01,2017-12-31,12,therapist,full_time,yes,141.25,79.83,56.52,5058.03,63.36,35.81,66.53,45.72,23.22,13.36,4.2,1.07,8.96,83.98,90.78,52.29899999999999,98.68,97.16,97.86,34.47,87.38,1.8779999999999988,0,73.65,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00013,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-01-01,2018-01-31,12,therapist,full_time,yes,151.74,83.88,55.28,5048.74,60.19,33.27,63.2,42.39,15.92,11.48,5.92,2.96,26.03,85.66,89.99,49.160999999999994,97.44,99.66999999999999,94.08,29.155,87.82499999999999,1.748000000000006,0,71.92,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00014,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-02-01,2018-02-28,12,therapist,full_time,yes,160.8,108.44,67.44,6960.76,64.19,43.29,67.4,57.03,18.0,14.17,5.55,1.3,10.9,89.99,96.71,57.324999999999996,90.4,96.33000000000001,97.4,37.515,93.35,5.5679999999999925,0,74.45,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00015,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-03-01,2018-03-31,12,therapist,full_time,yes,161.46,94.99,58.83,6058.46,63.78,37.52,66.97,38.61,24.03,17.35,3.53,3.68,32.88,80.34,84.36,52.3095,99.01,96.74000000000001,92.64,31.32,82.35,2.4359999999999946,0,71.93,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00016,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-04-01,2018-04-30,12,therapist,full_time,yes,140.56,74.47,52.98,4786.19,64.27,34.05,67.48,54.2,16.57,11.02,5.12,2.44,21.63,88.41,96.44,51.653,95.13999999999999,96.25,95.12,35.385000000000005,92.425,3.9320000000000053,0,72.91,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00017,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-05-01,2018-05-31,12,therapist,full_time,yes,150.23,103.62,68.97,6346.73,61.25,42.25,64.31,42.6,19.25,16.53,3.99,1.4,10.51,85.67,91.08,54.8545,88.87,99.27000000000001,97.2,30.925,88.375,5.023999999999995,0,72.48,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00018,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-06-01,2018-06-30,12,therapist,full_time,yes,144.73,91.02,62.89,5786.14,63.57,39.98,66.75,54.53,27.05,12.12,4.96,1.37,11.54,81.19,84.75,56.49799999999999,94.95,96.95,97.26,40.79,82.97,3.513999999999998,0,74.11,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00019,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-07-01,2018-07-31,12,therapist,full_time,yes,143.07,81.79,57.17,5160.95,63.1,36.07,66.26,45.17,22.25,12.12,2.68,1.17,10.25,81.18,87.07,52.207499999999996,99.33,97.42,97.66,33.71,84.125,1.534,0,73.23,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00020,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-08-01,2018-08-31,12,therapist,full_time,yes,157.1,91.3,58.12,5583.91,61.16,35.54,64.22,54.32,17.89,9.19,4.0,3.14,23.92,90.34,91.8,52.5795,99.72,99.36000000000001,93.72,36.105000000000004,91.07,0.9959999999999951,0,74.71,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00021,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-09-01,2018-09-30,12,therapist,full_time,yes,148.28,83.47,56.29,5336.24,63.93,35.99,67.13,55.45,18.66,8.95,3.01,2.61,24.7,81.66,88.19,53.1935,98.44999999999999,96.59,94.78,37.055,84.925,2.5060000000000033,0,73.29,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00022,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-10-01,2018-10-31,12,therapist,full_time,yes,147.58,82.59,55.96,4915.76,59.52,33.31,62.5,41.46,17.5,15.62,2.24,2.63,21.63,95.96,90.79,49.262,98.12,99.0,94.74,29.48,93.375,1.6779999999999984,0,72.9,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00023,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-11-01,2018-11-30,12,therapist,full_time,yes,154.57,93.49,60.48,5677.65,60.73,36.73,63.77,43.3,27.03,10.91,3.75,1.56,12.27,85.61,85.12,52.97299999999999,97.36000000000001,99.79,96.88,35.165,85.36500000000001,1.451999999999992,0,73.83,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00024,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2018-12-01,2018-12-31,12,therapist,full_time,yes,154.65,91.74,59.32,5880.53,64.1,38.02,67.3,52.18,17.5,13.63,4.97,3.22,24.51,90.13,91.8,53.648999999999994,98.52000000000001,96.42000000000002,93.56,34.84,90.965,2.66799999999999,0,73.97,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00025,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2019-01-01,2019-01-31,12,therapist,full_time,yes,155.55,88.52,56.91,5535.16,62.53,35.58,65.66,42.85,25.9,12.81,4.57,3.2,24.92,92.71,95.64,52.1165,99.07,97.99000000000001,93.6,34.375,94.175,1.8159999999999994,0,74.36,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00026,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2019-02-01,2019-02-28,12,therapist,full_time,yes,158.51,100.07,63.13,6285.4,62.81,39.65,65.95,56.43,18.23,10.4,4.05,2.9,24.39,92.01,89.81,55.278,94.71000000000001,97.71000000000001,94.2,37.33,90.91,3.611999999999994,0,74.28,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00027,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2019-03-01,2019-03-31,12,therapist,full_time,yes,152.65,101.97,66.8,6079.45,59.62,39.83,62.6,51.91,25.24,12.47,3.29,1.98,16.3,80.22,94.36,55.8195,91.04,99.1,96.04,38.574999999999996,87.28999999999999,4.34,0,73.74,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00028,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2019-04-01,2019-04-30,12,therapist,full_time,yes,146.06,89.06,60.97,5656.2,63.51,38.73,66.69,53.44,20.1,14.63,4.88,3.68,32.62,84.75,85.26,54.599,96.87,97.01,92.64,36.769999999999996,85.005,3.183999999999996,0,73.25,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00029,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2019-05-01,2019-05-31,12,therapist,full_time,yes,153.55,81.47,53.06,5243.41,64.36,34.15,67.58,49.32,26.02,17.75,5.83,3.66,27.98,93.7,84.14,52.39799999999999,95.22,96.16,92.68,37.67,88.92,4.180000000000002,0,72.58,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00030,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2019-06-01,2019-06-30,12,therapist,full_time,yes,158.43,90.37,57.04,5677.04,62.82,35.83,65.96,38.76,25.03,9.12,3.64,1.02,8.46,93.08,93.04,51.519499999999994,99.19999999999999,97.7,97.96,31.895,93.06,1.4440000000000035,0,74.22,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00031,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2019-07-01,2019-07-31,12,therapist,full_time,yes,139.01,89.14,64.12,5837.78,65.49,42.0,68.76,51.11,17.92,11.55,5.91,2.2,19.89,83.58,91.3,55.718,93.72,95.03,95.6,34.515,87.44,4.94,0,72.95,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00032,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2019-08-01,2019-08-31,12,therapist,full_time,yes,158.82,92.33,58.13,5834.33,63.19,36.74,66.35,48.98,18.62,10.72,4.15,1.21,9.28,82.46,94.54,52.602000000000004,99.71000000000001,97.33000000000001,97.58,33.8,88.5,1.4259999999999917,0,74.09,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00033,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2019-09-01,2019-09-30,12,therapist,full_time,yes,146.21,79.14,54.13,4892.43,61.82,33.46,64.91,45.99,24.38,17.53,5.01,2.18,18.39,82.87,96.16,51.13799999999999,96.28999999999999,98.7,95.64,35.185,89.515,2.440000000000002,0,73.17,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00034,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2019-10-01,2019-10-31,12,therapist,full_time,yes,148.12,84.5,57.05,5487.43,64.94,37.05,68.19,44.64,22.52,10.4,5.19,3.04,27.12,92.39,87.85,52.7705,99.21,95.58000000000001,93.92,33.58,90.12,2.691999999999998,0,73.42,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00035,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2019-11-01,2019-11-30,12,therapist,full_time,yes,151.5,95.16,62.81,5952.26,62.55,39.29,65.68,39.64,23.71,12.7,3.75,1.75,13.58,93.76,84.3,53.378499999999995,95.03,97.97,96.5,31.675,89.03,3.15,0,73.17,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00036,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2019-12-01,2019-12-31,12,therapist,full_time,yes,138.85,79.09,56.96,5190.68,65.63,37.38,68.91,43.4,23.63,9.18,4.41,3.54,33.65,95.75,87.79,52.96099999999999,99.12,94.89000000000001,92.92,33.515,91.77000000000001,3.1039999999999925,0,73.43,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00037,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2020-01-01,2020-01-31,12,therapist,full_time,yes,152.13,87.58,57.57,5542.94,63.29,36.44,66.45,54.9,17.23,12.53,3.28,2.26,18.52,84.53,95.19,53.1205,99.72999999999999,97.23,95.48,36.065,89.86,1.6680000000000026,0,74.44,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00038,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2020-02-01,2020-02-29,12,therapist,full_time,yes,152.48,85.31,55.95,5117.75,59.99,33.56,62.99,48.41,20.32,10.95,2.22,3.55,28.33,88.33,94.62,50.8885,98.11,99.47,92.9,34.364999999999995,91.475,1.6780000000000006,0,73.56,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00039,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2020-03-01,2020-03-31,12,therapist,full_time,yes,152.39,49.6,32.55,2798.43,56.42,18.36,59.24,33.05,14.32,5.04,8.29,3.72,34.86,74.89,77.14,38.245,74.71,95.9,92.56,23.685,76.015,12.5,0,59.5,watchlist,performance_stability,commercial_repeatability,variance_normal,coach_priority,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00040,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2020-04-01,2020-04-30,12,therapist,full_time,yes,139.25,39.12,28.09,2248.62,57.48,16.15,60.35,25.47,12.42,8.74,7.85,2.09,17.1,73.93,74.53,35.633,70.25,96.96,95.82,18.945,74.23,13.534000000000002,0,57.46,watchlist,performance_stability,commercial_repeatability,variance_normal,coach_priority,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00041,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2020-05-01,2020-05-31,12,therapist,full_time,yes,148.34,39.39,26.55,2316.13,58.8,15.61,61.74,25.49,10.31,8.13,11.25,3.48,26.62,75.72,79.03,35.2425,68.71,98.28,93.04,17.9,77.375,13.900000000000002,0,57.3,watchlist,performance_stability,commercial_repeatability,variance_normal,coach_priority,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00042,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2020-06-01,2020-06-30,12,therapist,full_time,yes,145.82,37.36,25.62,2051.06,54.9,14.07,57.65,22.52,10.97,7.77,11.2,1.65,14.87,87.67,75.18,33.2055,67.78,94.38,96.7,16.745,81.42500000000001,15.466000000000003,0,56.41,watchlist,performance_stability,commercial_repeatability,variance_normal,coach_priority,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00043,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2020-07-01,2020-07-31,12,therapist,full_time,yes,150.97,66.27,43.9,3963.61,59.81,26.25,62.8,31.93,13.43,6.06,7.86,3.53,29.43,77.61,93.8,43.10249999999999,86.06,99.28999999999999,92.94,22.68,85.705,6.5660000000000025,0,65.99,watchlist,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00044,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2020-08-01,2020-08-31,12,therapist,full_time,yes,155.76,78.02,50.09,4671.06,59.87,29.99,62.86,32.75,14.1,8.83,6.17,2.49,20.88,83.09,86.2,45.51350000000001,92.25,99.35,95.02,23.425,84.64500000000001,3.8580000000000028,0,68.44,watchlist,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00045,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2020-09-01,2020-09-30,12,therapist,full_time,yes,150.99,81.51,53.98,5134.31,62.99,34.0,66.14,38.12,14.78,8.86,6.31,1.1,9.13,76.4,93.99,48.87449999999999,96.13999999999999,97.53,97.8,26.45,85.195,2.7520000000000056,0,70.81,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00046,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2020-10-01,2020-10-31,12,therapist,full_time,yes,140.52,55.85,39.75,3584.45,64.18,25.51,67.39,33.96,16.41,6.64,5.03,3.44,28.95,79.77,88.63,43.931000000000004,81.91,96.34,93.12,25.185000000000002,84.19999999999999,9.388,0,64.7,watchlist,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00047,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2020-11-01,2020-11-30,12,therapist,full_time,yes,147.1,81.68,55.53,4831.37,59.15,32.84,62.11,34.81,13.27,5.59,5.07,2.82,25.78,76.43,92.28,47.34999999999999,97.69,98.63,94.36,24.04,84.355,2.0360000000000027,0,70.11,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
