therapist_consistency_id,therapist_id,therapist_name,outlet_id,outlet_name,market_context,period_type,period_start,period_end,rolling_window_weeks,therapist_role,employment_type,active_flag,hours_available,hours_sold,utilization_percent,revenue_eur,yield_eur_per_sold_hour,revpath_proxy_eur_per_available_hour,avg_ticket_eur,rebooking_rate_percent,addon_attach_rate_percent,retail_attach_rate_percent,cancellation_impact_rate_percent,complaint_rate_percent,service_recovery_rate_percent,schedule_adherence_percent,attendance_reliability_percent,performance_level_score,utilization_stability_score,yield_stability_score,guest_quality_stability_score,commercial_consistency_score,attendance_consistency_score,variance_penalty_score,market_fairness_modifier_score,therapist_consistency_score_0_100,therapist_consistency_band,consistency_primary_gap,consistency_secondary_gap,consistency_variance_flag,coach_priority_flag,burnout_risk_flag,score_confidence_level,observed_weeks_count,observed_months_count,minimum_sample_rule_applied,data_coverage_flag,source_dependency_status,qa_status,audit_note,status
TCS_00001,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-05,2026-01-11,12,therapist,full_time,yes,35.42,25.35,71.57,1690.59,66.69,47.73,70.02,52.26,28.87,12.06,6.31,4.27,38.43,87.79,91.88,60.56049999999999,99.98,92.78999999999999,91.46000000000001,40.565,89.83500000000001,3.7460000000000018,0,76.04,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00012,TH_002,Therapist B,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-26,2026-02-01,12,therapist,full_time,yes,38.89,27.71,71.25,1480.27,53.42,38.06,56.09,55.93,24.14,15.85,5.3,4.69,42.21,89.79,91.68,55.645,99.7,93.94,90.62,40.035,90.73500000000001,3.482,0,74.5,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00013,TH_002,Therapist B,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-02,2026-02-08,12,therapist,full_time,yes,33.47,24.25,72.45,1418.87,58.51,42.39,61.44,43.9,27.45,14.85,5.4,2.13,19.17,80.96,93.01,56.5385,99.1,99.03,95.74,35.675,86.985,1.174000000000002,0,75.46,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00014,TH_002,Therapist B,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-09,2026-02-15,12,therapist,full_time,yes,33.5,23.98,71.58,1289.4,53.77,38.49,56.46,41.69,30.08,16.65,3.77,2.89,26.01,85.2,93.77,54.638000000000005,99.97,94.29,94.22,35.885,89.485,2.873999999999998,0,74.12,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00015,TH_002,Therapist B,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-16,2026-02-22,12,therapist,full_time,yes,37.63,26.55,70.56,1459.45,54.97,38.78,57.72,44.29,19.78,16.03,5.82,2.8,25.2,79.94,84.77,53.54599999999999,99.01,95.49000000000001,94.4,32.035,82.35499999999999,2.7599999999999945,0,72.36,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00016,TH_002,Therapist B,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-23,2026-03-01,12,therapist,full_time,yes,39.78,29.02,72.95,1629.18,56.14,40.95,58.95,53.81,26.1,13.81,3.03,2.36,21.24,89.44,93.77,57.168,98.6,96.66,95.28,39.955,91.60499999999999,2.368000000000004,0,76.09,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00017,TH_003,Therapist C,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-05,2026-01-11,12,therapist,full_time,yes,37.51,27.34,72.89,1822.48,66.66,48.59,69.99,43.47,31.26,17.79,3.46,3.64,32.76,90.27,92.05,60.05199999999999,98.66,92.82,92.72,37.365,91.16,4.136000000000005,0,75.6,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00018,TH_003,Therapist C,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-12,2026-01-18,12,therapist,full_time,yes,38.24,27.57,72.1,1931.28,70.05,50.5,73.55,53.3,21.18,14.11,6.64,1.37,12.33,86.59,90.1,60.924499999999995,99.45,89.43,97.26,37.239999999999995,88.345,4.721999999999996,0,75.41,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00019,TH_003,Therapist C,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-19,2026-01-25,12,therapist,full_time,yes,36.08,25.74,71.34,1741.31,67.65,48.26,71.03,57.89,22.53,12.37,2.99,3.36,30.24,90.97,88.2,60.709500000000006,99.79,91.82999999999998,93.28,40.21,89.58500000000001,4.024000000000004,0,75.97,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00020,TH_003,Therapist C,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-26,2026-02-01,12,therapist,full_time,yes,38.71,28.44,73.47,2009.29,70.65,51.91,74.18,56.34,30.67,13.42,5.78,2.08,18.72,94.11,93.95,63.4935,98.08,88.82999999999998,95.84,43.505,94.03,5.652000000000007,0,77.17,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00021,TH_003,Therapist C,MLT_OUTLET_002,Sliema,Malta,weekly,2026-02-02,2026-02-08,12,therapist,full_time,yes,38.44,28.76,74.82,1960.57,68.17,51.0,71.58,45.64,26.18,19.28,6.69,0.83,7.47,83.28,86.19,60.8195,96.73,91.31,98.34,35.91,84.735,4.9499999999999975,0,74.64,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00022,TH_003,Therapist C,MLT_OUTLET_002,Sliema,Malta,weekly,2026-02-09,2026-02-15,12,therapist,full_time,yes,38.08,28.12,73.84,1971.77,70.12,51.78,73.63,46.22,25.71,18.13,5.66,2.33,20.97,90.09,91.09,61.1755,97.71,89.35999999999999,95.34,35.965,90.59,5.63800000000001,0,75.06,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00023,TH_003,Therapist C,MLT_OUTLET_002,Sliema,Malta,weekly,2026-02-16,2026-02-22,12,therapist,full_time,yes,35.08,25.5,72.69,1710.28,67.07,48.75,70.42,53.82,30.12,16.49,5.81,1.18,10.62,88.02,84.6,61.507,98.86,92.41,97.64,41.97,86.31,3.7280000000000015,0,76.38,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00024,TH_003,Therapist C,MLT_OUTLET_002,Sliema,Malta,weekly,2026-02-23,2026-03-01,12,therapist,full_time,yes,34.73,26.19,75.41,1807.63,69.02,52.05,72.47,58.67,20.83,14.61,6.0,1.31,11.79,89.52,94.01,62.47549999999999,96.14,90.46000000000001,97.38,39.75,91.765,5.621999999999996,0,76.21,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00025,TH_004,Therapist D,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-05,2026-01-11,12,therapist,full_time,yes,37.31,26.08,69.9,1359.03,52.11,36.43,54.72,46.69,27.61,14.93,2.03,4.78,43.02,79.76,93.09,53.8485,98.35000000000001,92.63,90.44,37.15,86.42500000000001,4.563999999999999,0,72.3,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00026,TH_004,Therapist D,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-12,2026-01-18,12,therapist,full_time,yes,34.42,23.84,69.26,1426.59,59.84,41.45,62.83,46.89,22.12,11.69,3.53,5.13,46.17,95.14,88.19,55.536500000000004,97.71000000000001,99.63999999999999,89.74,34.505,91.66499999999999,2.086000000000002,0,74.8,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00027,TH_004,Therapist D,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-19,2026-01-25,12,therapist,full_time,yes,36.14,24.79,68.59,1424.68,57.47,39.42,60.34,55.18,25.32,13.63,4.06,4.59,41.31,79.25,91.45,56.196,97.04,97.99000000000001,90.82,40.25,85.35,2.905999999999994,0,74.25,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00028,TH_004,Therapist D,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-26,2026-02-01,12,therapist,full_time,yes,35.49,24.98,70.39,1453.84,58.2,40.96,61.11,42.49,25.26,14.35,5.21,2.69,24.21,88.48,90.7,55.169000000000004,98.84,98.72,94.62,33.875,89.59,1.5139999999999991,0,74.93,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00029,TH_004,Therapist D,MLT_OUTLET_002,Sliema,Malta,weekly,2026-02-02,2026-02-08,12,therapist,full_time,yes,36.92,26.41,71.53,1486.35,56.28,40.26,59.09,51.82,27.86,12.66,6.13,3.99,35.91,80.43,84.16,56.685500000000005,99.98,96.80000000000001,92.02,39.84,82.295,2.085999999999994,0,74.47,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00030,TH_004,Therapist D,MLT_OUTLET_002,Sliema,Malta,weekly,2026-02-09,2026-02-15,12,therapist,full_time,yes,35.34,24.99,70.71,1451.92,58.1,41.08,61.01,52.32,27.66,14.64,4.2,2.94,26.46,84.45,89.04,57.0805,99.16,98.62,94.12,39.99,86.745,1.4759999999999995,0,75.77,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00031,TH_004,Therapist D,MLT_OUTLET_002,Sliema,Malta,weekly,2026-02-16,2026-02-22,12,therapist,full_time,yes,33.62,23.45,69.75,1229.72,52.44,36.58,55.06,50.57,27.03,18.49,6.67,4.43,39.87,85.94,91.67,54.40649999999999,98.2,92.96000000000001,91.14,38.8,88.805,4.421999999999996,0,73.15,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00032,TH_004,Therapist D,MLT_OUTLET_002,Sliema,Malta,weekly,2026-02-23,2026-03-01,12,therapist,full_time,yes,38.5,27.72,72.0,1425.09,51.41,37.02,53.98,47.56,28.28,13.57,4.86,4.26,38.34,82.15,88.11,54.5695,99.55,91.93,91.48,37.92,85.13,4.259999999999999,0,72.68,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00033,TH_005,Therapist E,MLT_OUTLET_003,St Julians,Malta,weekly,2026-01-05,2026-01-11,12,therapist,full_time,yes,35.34,25.46,72.04,1471.08,57.78,41.63,60.67,42.69,29.22,13.33,4.59,2.1,18.9,95.29,87.55,56.2235,99.50999999999999,98.30000000000001,95.8,35.955,91.42,1.2959999999999992,0,75.98,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00034,TH_005,Therapist E,MLT_OUTLET_003,St Julians,Malta,weekly,2026-01-12,2026-01-18,12,therapist,full_time,yes,36.01,25.68,71.31,1733.66,67.51,48.14,70.89,55.77,21.47,17.57,4.29,2.65,23.85,82.38,85.23,60.173,99.76,91.97,94.7,38.620000000000005,83.805,3.8379999999999983,0,74.96,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00035,TH_005,Therapist E,MLT_OUTLET_003,St Julians,Malta,weekly,2026-01-19,2026-01-25,12,therapist,full_time,yes,38.1,26.89,70.58,1698.91,63.18,44.59,66.34,49.29,27.99,17.27,2.79,3.03,27.27,82.41,93.95,58.408,99.03,96.3,93.94,38.64,88.18,2.4740000000000006,0,75.73,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00036,TH_005,Therapist E,MLT_OUTLET_003,St Julians,Malta,weekly,2026-01-26,2026-02-01,12,therapist,full_time,yes,37.6,27.3,72.61,1869.23,68.47,49.71,71.89,43.4,19.92,13.41,3.31,1.94,17.46,94.74,87.42,58.876,98.94,91.00999999999999,96.12,31.66,91.08,4.408000000000005,0,74.66,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00037,TH_005,Therapist E,MLT_OUTLET_003,St Julians,Malta,weekly,2026-02-02,2026-02-08,12,therapist,full_time,yes,34.9,25.79,73.9,1707.3,66.2,48.92,69.51,49.5,28.56,11.67,4.44,1.3,11.7,81.24,95.96,60.74399999999999,97.64999999999999,93.28,97.4,39.03,88.6,3.8880000000000035,0,76.06,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00038,TH_005,Therapist E,MLT_OUTLET_003,St Julians,Malta,weekly,2026-02-09,2026-02-15,12,therapist,full_time,yes,33.97,24.79,72.98,1576.4,63.59,46.41,66.77,48.88,23.41,18.35,2.11,3.19,28.71,95.65,91.46,58.642999999999994,98.57,95.88999999999999,93.62,36.145,93.555,2.854000000000008,0,76.13,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00039,TH_005,Therapist E,MLT_OUTLET_003,St Julians,Malta,weekly,2026-02-16,2026-02-22,12,therapist,full_time,yes,39.56,28.43,71.87,1650.93,58.07,41.73,60.97,49.0,22.36,17.0,6.91,1.97,17.73,90.71,86.76,56.183,99.67999999999999,98.59,96.06,35.68,88.735,1.0860000000000016,0,75.67,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00040,TH_005,Therapist E,MLT_OUTLET_003,St Julians,Malta,weekly,2026-02-23,2026-03-01,12,therapist,full_time,yes,36.96,27.52,74.46,1728.53,62.81,46.77,65.95,57.85,26.54,13.95,2.57,1.65,14.85,83.85,87.44,60.703,97.09,96.66999999999999,96.7,42.195,85.645,2.826000000000004,0,76.48,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00041,TH_006,Therapist F,MLT_OUTLET_003,St Julians,Malta,weekly,2026-01-05,2026-01-11,12,therapist,full_time,yes,38.95,27.36,70.24,1562.26,57.1,40.11,59.96,49.57,19.74,17.48,5.61,2.5,22.5,90.69,90.59,54.96549999999999,98.69,97.62,95.0,34.655,90.64,1.975999999999999,0,74.85,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00042,TH_006,Therapist F,MLT_OUTLET_003,St Julians,Malta,weekly,2026-01-12,2026-01-18,12,therapist,full_time,yes,33.57,23.36,69.59,1309.09,56.04,39.0,58.84,48.96,20.35,18.17,6.25,4.31,38.79,86.76,88.87,54.367000000000004,98.04,96.56,91.38,34.655,87.815,3.0219999999999967,0,73.39,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00043,TH_006,Therapist F,MLT_OUTLET_003,St Julians,Malta,weekly,2026-01-19,2026-01-25,12,therapist,full_time,yes,37.56,25.88,68.9,1473.61,56.94,39.23,59.79,42.2,24.51,17.05,4.3,2.46,22.14,91.94,86.14,54.05049999999999,97.35000000000001,97.46000000000001,95.08,33.355000000000004,89.03999999999999,2.5679999999999934,0,73.83,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00044,TH_006,Therapist F,MLT_OUTLET_003,St Julians,Malta,weekly,2026-01-26,2026-02-01,12,therapist,full_time,yes,34.81,24.62,70.73,1305.6,53.03,37.51,55.68,46.48,27.44,14.76,3.02,4.93,44.37,93.43,94.84,54.404,99.18,93.55000000000001,90.14,36.96,94.135,3.893999999999993,0,74.0,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00045,TH_006,Therapist F,MLT_OUTLET_003,St Julians,Malta,weekly,2026-02-02,2026-02-08,12,therapist,full_time,yes,34.67,24.92,71.88,1394.77,55.97,40.23,58.77,56.96,27.62,10.82,2.33,3.69,33.21,93.91,90.52,57.4345,99.67,96.49000000000001,92.62,42.29,92.215,2.2739999999999956,0,76.39,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00046,TH_006,Therapist F,MLT_OUTLET_003,St Julians,Malta,weekly,2026-02-09,2026-02-15,12,therapist,full_time,yes,36.48,25.92,71.05,1358.73,52.42,37.25,55.04,51.71,28.23,13.64,5.88,5.19,46.71,82.62,90.32,55.205499999999994,99.5,92.94,89.62,39.97,86.47,4.062000000000001,0,73.31,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00047,TH_006,Therapist F,MLT_OUTLET_003,St Julians,Malta,weekly,2026-02-16,2026-02-22,12,therapist,full_time,yes,35.01,24.53,70.07,1459.04,59.48,41.67,62.45,50.44,25.97,16.98,3.98,5.05,45.45,87.89,85.57,56.80399999999999,98.52,100.0,89.9,38.205,86.72999999999999,1.6020000000000016,0,75.16,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
